查询到 200 条记录：

| 接收时间 | 风场 | 风机 | 状态 | 特征1 | 特征2 | 特征3 |
|----------|------|------|------|-------|-------|-------|
| 2026-05-05 10:25:12.0 | 10001 | 2 | 正常 | 2.12 | 0.71 | 0.98 |
| 2026-05-05 10:25:07.0 | 10001 | 2 | 正常 | 1.17 | 0.63 | 1.25 |
| 2026-05-05 10:25:02.0 | 10001 | 2 | 正常 | 1.32 | 0.76 | 1.18 |
| 2026-05-05 10:24:57.0 | 10001 | 2 | 正常 | 1.43 | 0.93 | 1.09 |
| 2026-05-05 10:24:52.0 | 10001 | 2 | 正常 | 2.23 | 0.68 | 0.76 |
| 2026-05-05 10:24:47.0 | 10001 | 2 | 正常 | 1.15 | 0.54 | 0.97 |
| 2026-05-05 10:24:42.0 | 10001 | 2 | 正常 | 1.91 | 1.05 | 1.22 |
| 2026-05-05 10:24:37.0 | 10001 | 2 | 正常 | 1.23 | 0.61 | 0.88 |
| 2026-05-05 10:24:32.0 | 10001 | 2 | 正常 | 1.15 | 0.75 | 0.83 |
| 2026-05-05 10:24:27.0 | 10001 | 2 | 正常 | 1.41 | 0.92 | 0.87 |
| 2026-05-05 10:24:22.0 | 10001 | 2 | 正常 | 2.08 | 0.64 | 0.81 |
| 2026-05-05 10:24:17.0 | 10001 | 2 | 正常 | 1.30 | 0.96 | 1.06 |
| 2026-05-05 10:24:12.0 | 10001 | 2 | 正常 | 1.82 | 0.52 | 0.83 |
| 2026-05-05 10:24:07.0 | 10001 | 2 | 正常 | 1.45 | 0.85 | 1.26 |
| 2026-05-05 10:24:02.0 | 10001 | 2 | 正常 | 2.15 | 0.62 | 0.85 |
| 2026-05-05 10:23:57.0 | 10001 | 2 | 正常 | 2.21 | 0.74 | 1.12 |
| 2026-05-05 10:23:52.0 | 10001 | 2 | 正常 | 1.28 | 0.69 | 0.93 |
| 2026-05-05 10:23:47.0 | 10001 | 2 | 正常 | 1.71 | 0.55 | 1.21 |
| 2026-05-05 10:23:42.0 | 10001 | 2 | 正常 | 2.12 | 1.02 | 0.80 |
| 2026-05-05 10:23:37.0 | 10001 | 2 | 正常 | 1.63 | 0.88 | 1.08 |
| 2026-05-05 10:23:32.0 | 10001 | 2 | 正常 | 1.26 | 0.60 | 0.82 |
| 2026-05-05 10:23:27.0 | 10001 | 2 | 正常 | 2.12 | 0.99 | 0.87 |
| 2026-05-05 10:23:22.0 | 10001 | 2 | 正常 | 1.52 | 0.85 | 1.03 |
| 2026-05-05 10:23:17.0 | 10001 | 2 | 正常 | 1.56 | 0.61 | 0.80 |
| 2026-05-05 10:23:12.0 | 10001 | 2 | 正常 | 1.52 | 0.54 | 0.85 |
| 2026-05-05 10:23:07.0 | 10001 | 2 | 正常 | 1.37 | 0.89 | 1.03 |
| 2026-05-05 10:23:02.0 | 10001 | 2 | 正常 | 1.78 | 0.56 | 0.71 |
| 2026-05-05 10:22:57.0 | 10001 | 2 | 正常 | 1.54 | 0.88 | 0.78 |
| 2026-05-05 10:22:52.0 | 10001 | 2 | 正常 | 1.45 | 0.65 | 0.70 |
| 2026-05-05 10:22:47.0 | 10001 | 2 | 正常 | 1.89 | 0.50 | 0.88 |
| 2026-05-05 10:22:42.0 | 10001 | 2 | 正常 | 1.13 | 1.00 | 0.78 |
| 2026-05-05 10:22:37.0 | 10001 | 2 | 正常 | 1.17 | 0.63 | 1.27 |
| 2026-05-05 10:22:32.0 | 10001 | 2 | 正常 | 1.43 | 0.62 | 0.81 |
| 2026-05-05 10:22:27.0 | 10001 | 2 | 正常 | 1.60 | 0.95 | 0.71 |
| 2026-05-05 10:22:22.0 | 10001 | 2 | 正常 | 1.39 | 0.50 | 1.16 |
| 2026-05-05 10:22:17.0 | 10001 | 2 | 正常 | 1.34 | 0.83 | 1.20 |
| 2026-05-05 10:22:12.0 | 10001 | 2 | 正常 | 1.54 | 0.74 | 0.71 |
| 2026-05-05 10:22:07.0 | 10001 | 2 | 正常 | 2.06 | 0.79 | 1.14 |
| 2026-05-05 10:22:02.0 | 10001 | 2 | 正常 | 1.95 | 0.95 | 1.22 |
| 2026-05-05 10:21:57.0 | 10001 | 2 | 正常 | 1.23 | 0.75 | 0.90 |
| 2026-05-05 10:03:30.0 | 10001 | 2 | 正常 | 1.82 | 0.52 | 1.16 |
| 2026-05-05 10:03:25.0 | 10001 | 2 | 正常 | 1.23 | 0.64 | 1.13 |
| 2026-05-05 10:03:20.0 | 10001 | 2 | 正常 | 1.21 | 0.57 | 0.90 |
| 2026-05-05 10:03:15.0 | 10001 | 2 | 正常 | 1.24 | 0.99 | 1.23 |
| 2026-05-05 10:03:10.0 | 10001 | 2 | 正常 | 1.82 | 0.70 | 1.25 |
| 2026-05-05 10:03:05.0 | 10001 | 2 | 正常 | 1.50 | 0.81 | 0.92 |
| 2026-05-05 10:03:00.0 | 10001 | 2 | 正常 | 1.62 | 0.83 | 1.27 |
| 2026-05-05 10:02:55.0 | 10001 | 2 | 正常 | 1.52 | 0.80 | 1.13 |
| 2026-05-05 10:02:50.0 | 10001 | 2 | 正常 | 2.23 | 1.09 | 1.26 |
| 2026-05-05 10:02:45.0 | 10001 | 2 | 正常 | 2.14 | 0.84 | 0.86 |
| 2026-05-05 10:02:40.0 | 10001 | 2 | 正常 | 1.24 | 0.90 | 0.83 |
| 2026-05-05 10:02:35.0 | 10001 | 2 | 正常 | 1.99 | 0.85 | 1.22 |
| 2026-05-05 10:02:30.0 | 10001 | 2 | 正常 | 1.52 | 0.77 | 0.93 |
| 2026-05-05 10:02:25.0 | 10001 | 2 | 正常 | 1.15 | 1.01 | 0.83 |
| 2026-05-05 10:02:20.0 | 10001 | 2 | 正常 | 2.06 | 1.02 | 0.84 |
| 2026-05-05 10:02:15.0 | 10001 | 2 | 正常 | 2.02 | 0.67 | 1.02 |
| 2026-05-05 10:02:10.0 | 10001 | 2 | 正常 | 1.24 | 1.03 | 0.73 |
| 2026-05-05 10:02:05.0 | 10001 | 2 | 未连接 | 0.00 | 0.00 | 0.00 |
| 2026-05-05 10:02:00.0 | 10001 | 2 | 正常 | 1.39 | 0.52 | 0.82 |
| 2026-05-05 10:01:55.0 | 10001 | 2 | 正常 | 1.93 | 0.55 | 1.09 |
| 2026-05-05 10:01:50.0 | 10001 | 2 | 正常 | 1.24 | 1.01 | 1.04 |
| 2026-05-05 10:01:45.0 | 10001 | 2 | 正常 | 1.52 | 0.52 | 0.95 |
| 2026-05-05 10:01:40.0 | 10001 | 2 | 正常 | 1.58 | 0.91 | 1.01 |
| 2026-05-05 10:01:35.0 | 10001 | 2 | 正常 | 1.45 | 0.92 | 1.20 |
| 2026-05-05 10:01:30.0 | 10001 | 2 | 正常 | 1.95 | 1.04 | 1.12 |
| 2026-05-05 10:01:25.0 | 10001 | 2 | 正常 | 1.97 | 0.77 | 1.14 |
| 2026-05-05 10:01:20.0 | 10001 | 2 | 正常 | 1.97 | 0.80 | 0.79 |
| 2026-05-05 10:01:15.0 | 10001 | 2 | 正常 | 2.19 | 1.03 | 0.84 |
| 2026-05-05 10:01:10.0 | 10001 | 2 | 正常 | 1.21 | 0.69 | 1.25 |
| 2026-05-05 10:01:05.0 | 10001 | 2 | 正常 | 1.95 | 0.84 | 1.04 |
| 2026-05-05 10:01:00.0 | 10001 | 2 | 正常 | 2.01 | 0.55 | 1.00 |
| 2026-05-05 10:00:55.0 | 10001 | 2 | 正常 | 1.26 | 0.59 | 1.18 |
| 2026-05-05 10:00:50.0 | 10001 | 2 | 正常 | 1.60 | 0.60 | 0.94 |
| 2026-05-05 10:00:45.0 | 10001 | 2 | 正常 | 1.97 | 0.60 | 0.80 |
| 2026-05-05 10:00:40.0 | 10001 | 2 | 正常 | 1.60 | 0.97 | 0.98 |
| 2026-05-05 10:00:35.0 | 10001 | 2 | 正常 | 1.82 | 0.86 | 1.21 |
| 2026-05-05 10:00:30.0 | 10001 | 2 | 正常 | 1.47 | 0.79 | 1.26 |
| 2026-05-05 10:00:25.0 | 10001 | 2 | 正常 | 1.39 | 0.94 | 1.22 |
| 2026-05-05 10:00:20.0 | 10001 | 2 | 正常 | 2.21 | 0.68 | 1.18 |
| 2026-05-05 10:00:15.0 | 10001 | 2 | 正常 | 2.12 | 0.74 | 1.10 |
| 2026-05-05 10:00:10.0 | 10001 | 2 | 正常 | 1.37 | 0.57 | 1.03 |
| 2026-05-05 10:00:05.0 | 10001 | 2 | 正常 | 1.58 | 0.86 | 0.98 |
| 2026-05-05 10:00:00.0 | 10001 | 2 | 正常 | 1.28 | 0.57 | 1.21 |
| 2026-05-05 09:59:54.0 | 10001 | 2 | 故障 | 7.22 | 2.32 | 2.37 |
| 2026-05-05 09:59:49.0 | 10001 | 2 | 正常 | 1.80 | 0.95 | 0.83 |
| 2026-05-05 09:59:44.0 | 10001 | 2 | 正常 | 1.45 | 0.99 | 0.95 |
| 2026-05-05 09:59:39.0 | 10001 | 2 | 故障 | 4.66 | 3.33 | 2.46 |
| 2026-05-05 09:59:34.0 | 10001 | 2 | 正常 | 1.63 | 0.93 | 1.20 |
| 2026-05-05 09:59:29.0 | 10001 | 2 | 正常 | 1.99 | 0.78 | 1.30 |
| 2026-05-05 09:59:24.0 | 10001 | 2 | 正常 | 2.15 | 0.78 | 1.18 |
| 2026-05-05 09:59:19.0 | 10001 | 2 | 正常 | 1.21 | 0.98 | 1.06 |
| 2026-05-05 09:59:14.0 | 10001 | 2 | 正常 | 1.50 | 1.03 | 0.94 |
| 2026-05-05 09:59:09.0 | 10001 | 2 | 正常 | 2.02 | 1.01 | 1.13 |
| 2026-05-05 09:59:04.0 | 10001 | 2 | 正常 | 1.69 | 0.71 | 0.79 |
| 2026-05-05 09:58:59.0 | 10001 | 2 | 正常 | 1.49 | 0.63 | 1.02 |
| 2026-05-05 09:58:54.0 | 10001 | 2 | 正常 | 1.63 | 0.90 | 1.17 |
| 2026-05-05 09:58:49.0 | 10001 | 2 | 正常 | 2.17 | 0.95 | 1.19 |
| 2026-05-05 09:58:44.0 | 10001 | 2 | 正常 | 2.06 | 0.56 | 1.20 |
| 2026-05-05 09:58:39.0 | 10001 | 2 | 正常 | 1.86 | 0.95 | 1.19 |
| 2026-05-05 09:58:34.0 | 10001 | 2 | 正常 | 1.71 | 0.78 | 1.14 |
| 2026-05-05 09:58:29.0 | 10001 | 2 | 正常 | 1.58 | 0.59 | 1.20 |
| 2026-05-05 09:58:24.0 | 10001 | 2 | 正常 | 1.76 | 0.84 | 0.74 |
| 2026-05-05 09:58:19.0 | 10001 | 2 | 正常 | 1.21 | 0.65 | 0.83 |
| 2026-05-05 09:58:14.0 | 10001 | 2 | 正常 | 1.56 | 0.76 | 1.28 |
| 2026-05-05 09:58:09.0 | 10001 | 2 | 正常 | 1.32 | 0.61 | 0.86 |
| 2026-05-05 09:58:04.0 | 10001 | 2 | 正常 | 2.12 | 0.62 | 0.76 |
| 2026-05-05 09:57:59.0 | 10001 | 2 | 正常 | 2.15 | 0.72 | 0.77 |
| 2026-05-05 09:57:54.0 | 10001 | 2 | 正常 | 1.97 | 1.05 | 1.20 |
| 2026-05-05 09:57:49.0 | 10001 | 2 | 正常 | 1.37 | 0.82 | 0.90 |
| 2026-05-05 09:57:44.0 | 10001 | 2 | 正常 | 1.56 | 0.92 | 1.21 |
| 2026-05-05 09:57:39.0 | 10001 | 2 | 故障 | 6.28 | 3.06 | 2.21 |
| 2026-05-05 09:57:34.0 | 10001 | 2 | 故障 | 5.65 | 3.95 | 3.36 |
| 2026-05-05 09:57:29.0 | 10001 | 2 | 正常 | 2.12 | 0.51 | 0.76 |
| 2026-05-05 09:57:24.0 | 10001 | 2 | 正常 | 2.19 | 0.63 | 1.28 |
| 2026-05-05 09:57:19.0 | 10001 | 2 | 正常 | 1.21 | 0.89 | 1.22 |
| 2026-05-05 09:57:14.0 | 10001 | 2 | 正常 | 2.15 | 1.00 | 0.76 |
| 2026-05-05 09:57:09.0 | 10001 | 2 | 正常 | 2.04 | 0.73 | 1.02 |
| 2026-05-05 09:57:04.0 | 10001 | 2 | 正常 | 1.28 | 0.77 | 0.85 |
| 2026-05-05 09:56:59.0 | 10001 | 2 | 正常 | 1.43 | 0.89 | 1.05 |
| 2026-05-05 09:56:54.0 | 10001 | 2 | 正常 | 2.08 | 0.71 | 0.90 |
| 2026-05-05 09:56:49.0 | 10001 | 2 | 正常 | 1.30 | 0.77 | 1.22 |
| 2026-05-05 09:56:44.0 | 10001 | 2 | 正常 | 1.78 | 0.97 | 0.71 |
| 2026-05-05 09:56:39.0 | 10001 | 2 | 正常 | 1.24 | 0.65 | 1.06 |
| 2026-05-05 09:56:34.0 | 10001 | 2 | 正常 | 2.08 | 0.70 | 1.25 |
| 2026-05-05 09:56:29.0 | 10001 | 2 | 正常 | 2.21 | 0.90 | 0.98 |
| 2026-05-05 09:56:24.0 | 10001 | 2 | 正常 | 2.02 | 0.78 | 0.72 |
| 2026-05-05 09:56:19.0 | 10001 | 2 | 正常 | 1.82 | 1.01 | 0.84 |
| 2026-05-05 09:56:14.0 | 10001 | 2 | 正常 | 1.52 | 0.86 | 1.25 |
| 2026-05-05 09:56:09.0 | 10001 | 2 | 正常 | 1.34 | 0.74 | 0.95 |
| 2026-05-05 09:56:04.0 | 10001 | 2 | 正常 | 1.34 | 0.53 | 0.96 |
| 2026-05-05 09:55:59.0 | 10001 | 2 | 正常 | 1.34 | 1.01 | 1.02 |
